path	category	include_in_commit	reason	file_size_bytes	data_or_code	downstream_or_backbone_relevance
docs/darlin/darlin_01b_provider_confirmation_questions.md	documentation	no	downstream-only or out of M0-M2.5 scope	4395	documentation	downstream-only
docs/darlin/darlin_01b_staging_contract.md	documentation	no	downstream-only or out of M0-M2.5 scope	1713	documentation	downstream-only
docs/darlin/darlin_01c_dependency_and_safety_gate.md	documentation	no	downstream-only or out of M0-M2.5 scope	1579	documentation	downstream-only
docs/darlin/darlin_01c_next_step_recommendation.md	documentation	no	downstream-only or out of M0-M2.5 scope	1742	documentation	downstream-only
docs/darlin/darlin_01c_protocol_resolved_dryrun_staging_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	1843	documentation	downstream-only
docs/darlin/darlin_01c_staging_report.md	documentation	no	downstream-only or out of M0-M2.5 scope	2197	documentation	downstream-only
docs/darlin/darlin_01d0_contained_dryrun_commands.md	documentation	no	downstream-only or out of M0-M2.5 scope	1479	documentation	downstream-only
docs/darlin/darlin_01d0_next_step_recommendation.md	documentation	no	downstream-only or out of M0-M2.5 scope	953	documentation	downstream-only
docs/darlin/darlin_01d0_update_carlin_side_effect_review.md	documentation	no	downstream-only or out of M0-M2.5 scope	1973	documentation	downstream-only
docs/darlin/darlin_01e_execution_summary.md	documentation	no	downstream-only or out of M0-M2.5 scope	924	documentation	downstream-only
docs/darlin/darlin_01e_ra_run_report.md	documentation	no	downstream-only or out of M0-M2.5 scope	369	documentation	downstream-only
docs/darlin/darlin_01e_ta_run_report.md	documentation	no	downstream-only or out of M0-M2.5 scope	1643	documentation	downstream-only
docs/darlin/darlin_02a_barcode_next_step.md	documentation	no	downstream-only or out of M0-M2.5 scope	1728	documentation	downstream-only
docs/darlin/darlin_02a_corrected_ca_ta_ra_locus_mapping.md	documentation	no	downstream-only or out of M0-M2.5 scope	2621	documentation	downstream-only
docs/darlin/darlin_02a_future_st_smoke_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	1424	documentation	downstream-only
docs/darlin/darlin_02a_mixed_st_raw_fastq_strategy.md	documentation	no	downstream-only or out of M0-M2.5 scope	1621	documentation	downstream-only
docs/darlin/darlin_02a_mixed_st_to_m0_bridge.md	documentation	no	downstream-only or out of M0-M2.5 scope	1090	documentation	downstream-only
docs/darlin/darlin_02a_next_step_recommendation.md	documentation	no	downstream-only or out of M0-M2.5 scope	1619	documentation	downstream-only
docs/darlin/darlin_02a_st_raw_processing_requirements.md	documentation	no	downstream-only or out of M0-M2.5 scope	1769	documentation	downstream-only
docs/darlin/darlin_02b_01c_staging_and_dryrun_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	1492	documentation	downstream-only
docs/darlin/darlin_02b_barcode_candidate_config_matrix.md	documentation	no	downstream-only or out of M0-M2.5 scope	1971	documentation	downstream-only
docs/darlin/darlin_02b_best_supported_candidate_review.md	documentation	no	downstream-only or out of M0-M2.5 scope	1370	documentation	downstream-only
docs/darlin/darlin_02b_dryrun_safety_review.md	documentation	no	downstream-only or out of M0-M2.5 scope	1295	documentation	downstream-only
docs/darlin/darlin_02b_next_step_recommendation.md	documentation	no	downstream-only or out of M0-M2.5 scope	1135	documentation	downstream-only
docs/darlin/darlin_02b_protocol_based_config_resolution.md	documentation	no	downstream-only or out of M0-M2.5 scope	1496	documentation	downstream-only
docs/darlin/darlin_02b_protocol_resolved_best_candidates.md	documentation	no	downstream-only or out of M0-M2.5 scope	627	documentation	downstream-only
docs/darlin/darlin_02b_protocol_resolved_snakemake_safety_review.md	documentation	no	downstream-only or out of M0-M2.5 scope	1117	documentation	downstream-only
docs/darlin/darlin_02b_protocol_update_next_step.md	documentation	no	downstream-only or out of M0-M2.5 scope	727	documentation	downstream-only
docs/darlin/darlin_02b_to_01c_updated_recommendation.md	documentation	no	downstream-only or out of M0-M2.5 scope	1241	documentation	downstream-only
docs/darlin/darlin_barcode_adapter_contract.md	documentation	no	downstream-only or out of M0-M2.5 scope	1717	documentation	downstream-only
docs/darlin/darlin_expression_spatial_matching_contract.md	documentation	no	downstream-only or out of M0-M2.5 scope	1436	documentation	downstream-only
docs/darlin/darlin_first_subset_selection.md	documentation	no	downstream-only or out of M0-M2.5 scope	4196	documentation	downstream-only
docs/darlin/darlin_hpc02_completion_check_report.md	documentation	no	downstream-only or out of M0-M2.5 scope	3476	documentation	downstream-only
docs/darlin/darlin_hpc_handoff_00_current_status.md	documentation	no	downstream-only or out of M0-M2.5 scope	4973	documentation	downstream-only
docs/darlin/darlin_hpc_handoff_01_hpc_checklist.md	documentation	no	downstream-only or out of M0-M2.5 scope	2740	documentation	downstream-only
docs/darlin/darlin_hpc_handoff_02_execution_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	3646	documentation	downstream-only
docs/darlin/darlin_official_preprocessing_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	3983	documentation	downstream-only
docs/darlin/darlin_sailu_pe100_100_split_key_inspection.md	documentation	no	downstream-only or out of M0-M2.5 scope	9231	documentation	downstream-only
docs/darlin/darlin_st00_mixed_st_processing_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	5925	documentation	downstream-only
docs/darlin/darlin_st00_putative_tissue_annotation_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	2472	documentation	downstream-only
docs/darlin/sailu_st01_bc_called_table_contract.md	documentation	no	downstream-only or out of M0-M2.5 scope	2297	documentation	downstream-only
docs/darlin/sailu_st01_e_bc_linkage_feasibility.md	documentation	no	downstream-only or out of M0-M2.5 scope	1204	documentation	downstream-only
docs/darlin/sailu_st01_mixed_st_smoke_feasibility.md	documentation	no	downstream-only or out of M0-M2.5 scope	1337	documentation	downstream-only
docs/darlin/sailu_st01_next_step_recommendation.md	documentation	no	downstream-only or out of M0-M2.5 scope	958	documentation	downstream-only
docs/darlin/sailu_st01_spatial_structure_interpretation.md	documentation	no	downstream-only or out of M0-M2.5 scope	1608	documentation	downstream-only
docs/darlin/sailu_st02_minimal_raw_st_parser_feasibility.md	documentation	no	downstream-only or out of M0-M2.5 scope	1247	documentation	downstream-only
docs/darlin/sailu_st02_next_smoke_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	1095	documentation	downstream-only
docs/darlin/sailu_st02_r1_r2_role_inference.md	documentation	no	downstream-only or out of M0-M2.5 scope	780	documentation	downstream-only
docs/darlin/sailu_st02_read_structure_entropy_interpretation.md	documentation	no	downstream-only or out of M0-M2.5 scope	1468	documentation	downstream-only
docs/darlin/sailu_st03_bc_e_linkage_smoke_review.md	documentation	no	downstream-only or out of M0-M2.5 scope	1301	documentation	downstream-only
docs/darlin/sailu_st03_next_step_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	773	documentation	downstream-only
docs/darlin/sailu_st03_tiny_parser_smoke_report.md	documentation	no	downstream-only or out of M0-M2.5 scope	1500	documentation	downstream-only
docs/darlin/sailu_st03b_barcode_scale_vs_bc_structure.md	documentation	no	downstream-only or out of M0-M2.5 scope	805	documentation	downstream-only
docs/darlin/sailu_st03b_next_step_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	712	documentation	downstream-only
docs/darlin/sailu_st03b_parser_refinement_report.md	documentation	no	downstream-only or out of M0-M2.5 scope	736	documentation	downstream-only
docs/darlin/sailu_st03b_r1_r2_role_refinement.md	documentation	no	downstream-only or out of M0-M2.5 scope	818	documentation	downstream-only
docs/darlin/sailu_st03b_st03_quantitative_review.md	documentation	no	downstream-only or out of M0-M2.5 scope	930	documentation	downstream-only
docs/environment_and_dependencies.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	2202	documentation	outside freeze allow-list
docs/git_initialization_plan.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	1767	documentation	outside freeze allow-list
docs/github_packaging_plan.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	2871	documentation	outside freeze allow-list
docs/installation.md	documentation	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	1965	documentation	backbone-relevant
docs/m0_design.md	documentation	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	1904	documentation	backbone-relevant
docs/pipeline_module_index.md	documentation	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	4947	documentation	backbone-relevant
docs/planA_k_gpcca/01_planA_mainline_reframe.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	5096	documentation	outside freeze allow-list
docs/planA_k_gpcca/02_niche_definition.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	1881	documentation	outside freeze allow-list
docs/planA_k_gpcca/03_sparse_markov_kernel_design.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	1891	documentation	outside freeze allow-list
docs/planA_k_gpcca/04_niche_state_coarsening_design.md	documentation	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	1546	documentation	backbone-relevant
docs/planA_k_gpcca/05_m2_5_metaniche_pilot_protocol.md	documentation	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	1990	documentation	backbone-relevant
docs/planA_k_gpcca/06_m2_5_state_contract_v2.md	documentation	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	2245	documentation	backbone-relevant
docs/planA_k_gpcca/06_minimal_gpcca_pilot_plan.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	1104	documentation	outside freeze allow-list
docs/planA_k_gpcca/07_cellrank_like_kernel_stabilization.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	2190	documentation	outside freeze allow-list
docs/planA_k_m0_m2_5_backbone.md	documentation	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	4020	documentation	backbone-relevant
docs/planB_branchsbm/01_branchsbm_design_note.md	documentation	no	downstream-only or out of M0-M2.5 scope	1606	documentation	downstream-only
docs/planB_branchsbm/02_branchsbm_tiny_input_smoke_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	879	documentation	downstream-only
docs/planB_branchsbm/03_planB_vs_planA_boundary.md	documentation	no	downstream-only or out of M0-M2.5 scope	1290	documentation	downstream-only
docs/project_status_checkpoint.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	3534	documentation	outside freeze allow-list
docs/quickstart.md	documentation	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	2744	documentation	backbone-relevant
docs/reproducibility_guide.md	documentation	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	4820	documentation	backbone-relevant
docs/server_layout.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	1281	documentation	outside freeze allow-list
docs/storage_policy.md	documentation	no	not part of explicit M0-M2.5 freeze allow-list	1367	documentation	outside freeze allow-list
environment.yml	other	no	not part of explicit M0-M2.5 freeze allow-list	471	other	outside freeze allow-list
envs/nichefate-core.yml	other	no	not part of explicit M0-M2.5 freeze allow-list	331	other	outside freeze allow-list
envs/nichefate-dev.yml	other	no	not part of explicit M0-M2.5 freeze allow-list	281	other	outside freeze allow-list
envs/nichefate-gpcca.yml	other	no	not part of explicit M0-M2.5 freeze allow-list	452	other	outside freeze allow-list
pyproject.toml	other	no	not part of explicit M0-M2.5 freeze allow-list	655	other	outside freeze allow-list
reports/darlin_onboarding/darlin_00_data_category_summary.csv	report/output	no	downstream-only or out of M0-M2.5 scope	11960	report	downstream-only
reports/darlin_onboarding/darlin_00_file_inventory.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1307135	report	downstream-only
reports/darlin_onboarding/darlin_00_gap_analysis.md	report/output	no	downstream-only or out of M0-M2.5 scope	2577	documentation	downstream-only
reports/darlin_onboarding/darlin_00_subset_candidates.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2577	report	downstream-only
reports/darlin_onboarding/darlin_00_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	6351	config_or_json	downstream-only
reports/darlin_onboarding/darlin_00c_first_route_decision_table.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1169	report	downstream-only
reports/darlin_onboarding/darlin_00c_manual_table_path_resolution.csv	report/output	no	downstream-only or out of M0-M2.5 scope	7837	report	downstream-only
reports/darlin_onboarding/darlin_00c_relationship_hypotheses.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1669	report	downstream-only
reports/darlin_onboarding/darlin_00c_required_user_provider_confirmations.md	report/output	no	downstream-only or out of M0-M2.5 scope	1271	documentation	downstream-only
reports/darlin_onboarding/darlin_00c_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	3451	config_or_json	downstream-only
reports/darlin_onboarding/darlin_00d_remaining_questions.md	report/output	no	downstream-only or out of M0-M2.5 scope	1175	documentation	downstream-only
reports/darlin_onboarding/darlin_00d_route_update_summary.csv	report/output	no	downstream-only or out of M0-M2.5 scope	640	report	downstream-only
reports/darlin_onboarding/darlin_00d_sailu_document_inventory.csv	report/output	no	downstream-only or out of M0-M2.5 scope	4853	report	downstream-only
reports/darlin_onboarding/darlin_00d_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	933	config_or_json	downstream-only
reports/darlin_onboarding/darlin_01a_bc_e_r_relationship_probe.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2565	report	downstream-only
reports/darlin_onboarding/darlin_01a_bc_fastq_header_probe.csv	report/output	no	downstream-only or out of M0-M2.5 scope	345	report	downstream-only
reports/darlin_onboarding/darlin_01a_bc_file_inventory.csv	report/output	no	downstream-only or out of M0-M2.5 scope	32686	report	downstream-only
reports/darlin_onboarding/darlin_01a_bc_remaining_questions.md	report/output	no	downstream-only or out of M0-M2.5 scope	1324	documentation	downstream-only
reports/darlin_onboarding/darlin_01a_bc_saluscallfile_probe.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1236	report	downstream-only
reports/darlin_onboarding/darlin_01a_bc_split_decision.json	report/output	no	downstream-only or out of M0-M2.5 scope	5918	config_or_json	downstream-only
reports/darlin_onboarding/darlin_01a_meiji_fastq_pairing_check.csv	report/output	no	downstream-only or out of M0-M2.5 scope	933	report	downstream-only
reports/darlin_onboarding/darlin_01a_readiness_matrix.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2022	report	downstream-only
reports/darlin_onboarding/darlin_01a_remaining_blockers.md	report/output	no	downstream-only or out of M0-M2.5 scope	1733	documentation	downstream-only
reports/darlin_onboarding/darlin_01a_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	871	config_or_json	downstream-only
reports/darlin_onboarding/darlin_01b_cfg_type_template_candidates.csv	report/output	no	downstream-only or out of M0-M2.5 scope	9541	report	downstream-only
reports/darlin_onboarding/darlin_01b_config_fields_inventory.csv	report/output	no	downstream-only or out of M0-M2.5 scope	4649	report	downstream-only
reports/darlin_onboarding/darlin_01b_confirmation_decision_table.csv	report/output	no	downstream-only or out of M0-M2.5 scope	3821	report	downstream-only
reports/darlin_onboarding/darlin_01b_confirmation_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	2120	config_or_json	downstream-only
reports/darlin_onboarding/darlin_01b_dependency_status.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2085	report	downstream-only
reports/darlin_onboarding/darlin_01b_dryrun_readiness_decision.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1485	report	downstream-only
reports/darlin_onboarding/darlin_01b_staging_file_map.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1280	report	downstream-only
reports/darlin_onboarding/darlin_01b_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	3146	config_or_json	downstream-only
reports/darlin_onboarding/darlin_01c_config_validation.csv	report/output	no	downstream-only or out of M0-M2.5 scope	801	report	downstream-only
reports/darlin_onboarding/darlin_01c_dependency_gate.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1381	report	downstream-only
reports/darlin_onboarding/darlin_01c_dryrun_gate.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1538	report	downstream-only
reports/darlin_onboarding/darlin_01c_staging_manifest.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1932	report	downstream-only
reports/darlin_onboarding/darlin_01c_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	1567	config_or_json	downstream-only
reports/darlin_onboarding/darlin_01d0_code_copy_manifest.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1033	report	downstream-only
reports/darlin_onboarding/darlin_01d0_dependency_env_check.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1857	report	downstream-only
reports/darlin_onboarding/darlin_01d0_dryrun_approval_gate.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1435	report	downstream-only
reports/darlin_onboarding/darlin_01d0_dryrun_command_plan.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1903	report	downstream-only
reports/darlin_onboarding/darlin_01d0_original_code_postcheck.csv	report/output	no	downstream-only or out of M0-M2.5 scope	70591	report	downstream-only
reports/darlin_onboarding/darlin_01d0_original_code_precheck.csv	report/output	no	downstream-only or out of M0-M2.5 scope	70591	report	downstream-only
reports/darlin_onboarding/darlin_01d0_side_effect_risk_table.csv	report/output	no	downstream-only or out of M0-M2.5 scope	3053	report	downstream-only
reports/darlin_onboarding/darlin_01d0_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	1799	config_or_json	downstream-only
reports/darlin_onboarding/darlin_01e_environment_selection.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2240	report	downstream-only
reports/darlin_onboarding/darlin_01e_original_code_postcheck.csv	report/output	no	downstream-only or out of M0-M2.5 scope	70591	report	downstream-only
reports/darlin_onboarding/darlin_01e_original_code_precheck.csv	report/output	no	downstream-only or out of M0-M2.5 scope	70591	report	downstream-only
reports/darlin_onboarding/darlin_01e_output_inventory.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2151	report	downstream-only
reports/darlin_onboarding/darlin_01e_ra_run_status.csv	report/output	no	downstream-only or out of M0-M2.5 scope	351	report	downstream-only
reports/darlin_onboarding/darlin_01e_raw_fastq_postcheck.csv	report/output	no	downstream-only or out of M0-M2.5 scope	897	report	downstream-only
reports/darlin_onboarding/darlin_01e_raw_fastq_precheck.csv	report/output	no	downstream-only or out of M0-M2.5 scope	897	report	downstream-only
reports/darlin_onboarding/darlin_01e_run_summary.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2171	report	downstream-only
reports/darlin_onboarding/darlin_01e_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	850	config_or_json	downstream-only
reports/darlin_onboarding/darlin_01e_ta_run_status.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1191	report	downstream-only
reports/darlin_onboarding/darlin_02a_barcode_dryrun_readiness.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2111	report	downstream-only
reports/darlin_onboarding/darlin_02a_corrected_locus_mapping.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1243	report	downstream-only
reports/darlin_onboarding/darlin_02a_decision_gates.csv	report/output	no	downstream-only or out of M0-M2.5 scope	3063	report	downstream-only
reports/darlin_onboarding/darlin_02a_dual_track_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	4307	config_or_json	downstream-only
reports/darlin_onboarding/darlin_02a_mapping_correction_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	1806	config_or_json	downstream-only
reports/darlin_onboarding/darlin_02a_omicverse_relevance.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1460	report	downstream-only
reports/darlin_onboarding/darlin_02a_st_fastq_inventory.csv	report/output	no	downstream-only or out of M0-M2.5 scope	3244	report	downstream-only
reports/darlin_onboarding/darlin_02a_st_fastq_read_structure_probe.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2936	report	downstream-only
reports/darlin_onboarding/darlin_02a_st_processing_tool_candidates.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2160	report	downstream-only
reports/darlin_onboarding/darlin_02b_barcode_candidate_config_matrix.csv	report/output	no	downstream-only or out of M0-M2.5 scope	19319	report	downstream-only
reports/darlin_onboarding/darlin_02b_best_supported_candidates.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1133	report	downstream-only
reports/darlin_onboarding/darlin_02b_dryrun_risk_review.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2700	report	downstream-only
reports/darlin_onboarding/darlin_02b_protocol_based_config_resolution.csv	report/output	no	downstream-only or out of M0-M2.5 scope	775	report	downstream-only
reports/darlin_onboarding/darlin_02b_protocol_based_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	1481	config_or_json	downstream-only
reports/darlin_onboarding/darlin_02b_protocol_resolved_best_candidates.csv	report/output	no	downstream-only or out of M0-M2.5 scope	620	report	downstream-only
reports/darlin_onboarding/darlin_02b_protocol_resolved_safety_check.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1554	report	downstream-only
reports/darlin_onboarding/darlin_02b_protocol_update_final_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	3543	config_or_json	downstream-only
reports/darlin_onboarding/darlin_02b_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	1753	config_or_json	downstream-only
reports/darlin_onboarding/darlin_02b_to_01c_readiness_update.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2293	report	downstream-only
reports/darlin_onboarding/darlin_hpc02_completion_gate_check.csv	report/output	no	downstream-only or out of M0-M2.5 scope	4237	report	downstream-only
reports/darlin_onboarding/darlin_hpc02_job_status.csv	report/output	no	downstream-only or out of M0-M2.5 scope	1770	report	downstream-only
reports/darlin_onboarding/darlin_hpc02_output_inventory.csv	report/output	no	downstream-only or out of M0-M2.5 scope	5524	report	downstream-only
reports/darlin_onboarding/darlin_hpc02_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	3712	config_or_json	downstream-only
reports/darlin_onboarding/darlin_hpc_handoff_summary.json	report/output	no	downstream-only or out of M0-M2.5 scope	1080	config_or_json	downstream-only
reports/darlin_onboarding/darlin_hpc_handoff_transfer_manifest.csv	report/output	no	downstream-only or out of M0-M2.5 scope	2415	report	downstream-only
